,title,content,link,category
0, La police tente d’identifier un cycliste ,"Un jeune cycliste non identifié se trouvait toujours entre la vie et la mort, dimanche matin, après avoir été heurté la veille par une voiture à Contrecœur, en Montérégie.  La victime a été heurtée alors qu'elle circulait sur la montée Saint-Roch, dans un secteur mal éclairé, peu avant 22 h. Le jeune homme pédalait en direction de Saint-Roch et roulait à contresens du trafic. Il a été percuté de plein fouet par une voiture, conduite par une femme dans la quarantaine qui se trouvait dans sa voie, a expliqué le capitaine Sylvain Lachapelle de la Régie de police Richelieu-Saint-Laurent. La victime a été grièvement blessée lors de la collision et était inconsciente à l'arrivée des secours. Le jeune homme a été transféré à l'hôpital du Sacré-Cœur, à Montréal, où il luttait toujours pour sa vie dimanche matin. Il est possible que la conductrice n'ait pas vu le cycliste avant qu'il soit trop tard, puisque ce dernier était habillé avec des couleurs foncées et n'avait pas de lumière sur son vélo. Le cycliste est décrit comme étant un jeune homme noir ayant probablement entre 15 et 22 ans, mais les policiers cherchaient toujours à l'identifier dimanche matin. Il portait un chandail à capuchon noir, un jean bleu et des souliers Nike. Il avait un vélo vert et gris de marque Peugeot. Les enquêteurs demandent la collaboration du public pour tenter de retrouver sa famille. Quiconque détient des informations permettant de l'identifier est invité à appeler la Régie de police au 450 536-3333.",https://www.journaldemontreal.com/2020/09/06/contrecur-la-police-tente-didentifier-un-cycliste-happe-dans-un-etat-critique,actualites
1, Cinq blessés dans un accident spectaculaire ,"Cinq personnes ont été blessées dans un accident de circulation survenu samedi soir dans le secteur d'Ahuntsic, à Montréal.  La collision a eu lieu vers 21 h 55, impliquant trois véhicules à l’intersection des rues Sauvé et Rancourt, a indiqué la police de Montréal. Un camion effectuant un virage sur la rue Rancourt en direction sud a heurté dans sa manœuvre un véhicule qui roulait en sens inverse, vers l’est. Sous l’effet de l’impact de la collision, un troisième véhicule a été impliqué. Au total, cinq personnes, dont la conductrice de la première voiture, une femme de 46 ans, ont été transportées à l’hôpital pour des blessures jugées mineures, a-t-on précisé. Le chauffeur de la remorque, un homme de 57 ans, n’a pas été blessé, selon le SPVM, qui n’a pas jugé nécessaire d’ériger un périmètre.",https://www.journaldemontreal.com/2020/09/06/montreal-cinq-blesses-dans-un-accident-spectaculaire,actualites
2, Huit suspects arrêtés ,"La Gendarmerie royale du Canada (GRC) a annoncé vendredi l’arrestation de huit suspects en Saskatchewan et la saisie de plus d’un demi-million $ et 2,8 millions cigarettes illicites à l’issue d’une enquête de 17 mois.   Les suspects, dont un neuvième a reçu une assignation, étaient impliqués dans la vente de cannabis illicite de Colombie-Britannique échangé contre des produits de tabac illicites du Québec.  L’enquête débutée en mars 2019 a ciblé un réseau basé à Saskatchewan mais qui a étalé ses tentacules à la Colombie-Britannique et le Québec.  Elle a permis une cinquantaine de perquisitions par l’unité fédérale contre les crimes graves et le crime organisé, une structure spécialisée de la GRC de la Saskatchewan.  Lors du coup de filet, outre le tabac, plus de 69 livres de cannabis et 573 735 $ ont été notamment saisis au terme de l’enquête, selon un communiqué de la police fédérale.  Les suspects, tous trentenaires, font face à 64 chefs d’accusation et doivent comparaître à Regina jeudi, a précisé la GRC. ",https://www.journaldemontreal.com/2020/09/06/saskatchewan-huit-arrestations-et-28-millions-de-cigarettes-illicites-saisies,actualites
3, Montréal: un homme poignardé dans Ville-Marie ,"Un homme a été poignardé dimanche très tôt dans le secteur de Ville-Marie, à Montréal.  Un appel au 911 vers 3 h 10 faisait état d’une agression armée survenue sur l’avenue Joly, près de la rue Ontario.  Selon les premières informations recoupées, la victime, âgée de 30 ans, a été poignardée au haut du corps, au cours d’une altercation entre plusieurs personnes qui a dégénéré.   Le blessé localisé sur place était conscient lors de son transport dans un centre hospitalier, a indiqué Jean-Pierre Brabant, porte-parole du Service de police de la Ville de Montréal (SPVM).  Un périmètre de sécurité a été érigé et des enquêteurs devaient analyser la scène pour mieux comprendre les circonstances qui ont amené à cette agression armée, a ajouté le sergent Brabant. ",https://www.journaldemontreal.com/2020/09/06/montreal-un-homme-poignarde-dans-ville-marie,actualites
4, Un résident se bat contre sa municipalité ,"Un résident de Gatineau mène une rude bataille contre l’administration de sa municipalité, qui veut l’obliger à démolir le muret de béton qu'il vient de faire ériger pour protéger son bâtiment de 33 chambres des inondations fréquentes.  Jusqu'ici, la Ville de Gatineau a dit à Pierre Chaussé qu'il recevrait deux constats d'infraction totalisant environ 900$, plus les frais, pour avoir enfreint le moratoire imposé par le gouvernement du Québec dans une zone d'intervention spéciale (ZIS). «C'est terrible, comme émotion. Je ne veux pas revivre ça», dit-il avec un trémolo dans la voix. L'homme de 60 ans insiste pour dire qu'il veut protéger sa propriété, construite dans une zone inondable et pour laquelle des permis avaient été accordés lors de la construction, en 1974. Lors des inondations de 2017, l'eau a causé pour 90 000$ de dégâts au sous-sol, où se trouvent huit chambres. M. Chaussé était mieux préparé en 2019, mais le scénario a quand même bien failli se répéter. L’homme s’est alors promis de prendre tous les moyens nécessaires pour éviter de revivre pareil cauchemar. Sa solution a été de faire construire, pour quelques dizaines de milliers de dollars, et ce, sans permis, un mur bétonné d'un peu moins d’un mètre de hauteur tout autour de sa propriété de la rue Saint-Louis, à quelques centaines de mètres de la rivière Gatineau. Le muret comporte des accès pour le passage des véhicules des locataires. «Ce n'est pas le mur de Berlin, que j'ai fait», lance l’homme.  «Je comprends son souci de vouloir protéger sa propriété de futures inondations, mais cela ne peut pas se faire en dépit du décret du gouvernement», a expliqué à l'Agence QMI la conseillère municipale du district de Pointe-Gatineau, Myriam Nadeau. De son côté, un autre conseiller municipal de Gatineau, Mike Duggan, donne entièrement raison au citoyen et estime que la Ville ne devrait émettre que des avertissements pour de telles initiatives légitimes, selon lui, de la part de sinistrés. Rencontré sur place, le chambreur Steven Matha nous a affirmé qu'il s'est installé précisément à cet endroit parce que, estime-t-il, le mur préviendra d'autres dommages résultant d'inondations éventuelles. M. Chaussé est à ce point découragé de ne pas être appuyé par les autorités qu'il songe maintenant à faire une grève de la faim. «Oui, si on ne me lâche pas avec ça, je vais faire ce qu'il y a à faire. Je l'ai dit à Mme Nadeau: “Mon mur, ce n'est pas moi qui vais le démolir. Puis, s’il est démoli, ce n'est pas moi qui vais le faire, je suis bien sérieux», a précisé avec émotion l'homme d'affaires. Il y a quelques jours, M. Chaussé s'était pourtant résigné à commencer à scier son mur de béton, ce qu’il a fait en partie, mais des passants l'auraient incité à tenir tête à la Ville, ce qu'il fait aujourd'hui.",https://www.journaldemontreal.com/2020/09/06/un-resident-se-bat-pour-garder-un-muret-contre-les-inondations-construit-sans-permis,actualites
5, Une amende de 1983 $ et 24 points d’inaptitude ,"Un automobiliste a été intercepté samedi vers 1 h à Boisbriand, alors qu’il roulait à plus de 210 km/h sur l’autoroute 15 Sud.   Le conducteur de 26 ans, résidant à Saint-Eustache, a écopé d’une amende salée de 1983$ et 24 points d’inaptitude, qui s’ajoutent ainsi à son dossier de conduite, a indiqué samedi Éloïse Cossette, porte-parole de la Sûreté du Québec (SQ).  Son permis de conduire a été suspendu sur le champ pour une période de sept jours et son véhicule remorqué, a ajouté la sergente Cossette.  ",https://www.journaldemontreal.com/2020/09/06/grand-exces-de-vitesse-une-amende-de-1983--et-24-points-dinaptitude,actualites
6, Délit de fuite pour excès de vitesse ,"Un automobiliste a été arrêté samedi soir à Mirabel, dans les Laurentides, après avoir tenté de fuir des policiers qui s’apprêtaient à l’intercepter pour excès de vitesse.   Le conducteur qui roulait à plus de 150 km/h dans une zone de 100 km/h sur l’autoroute 15 Nord a refusé de s’immobiliser avant d’être pris en chasse.   Le conducteur, un homme de Saint-Jérôme âgé de 32 ans, a été finalement maîtrisé et arrêté pour entrave, bris de probation et possession de stupéfiants, selon un communiqué de la Sûreté du Québec (SQ).  Le suspect libéré après l’opération policière pourrait faire face à des accusations ultérieurement, a-t-on précisé. ",https://www.journaldemontreal.com/2020/09/06/mirabel-delit-de-fuite-pour-exces-de-vitesse,actualites
7, Collision frontale à Saint-Donat ,"Un homme impliqué dans une collision frontale à Saint-Donat, dans Lanaudière, a été arrêté, samedi soir, pour conduite avec capacité affaiblie par l’alcool, avant d’être libéré par sommation.   Les policiers de la Sûreté du Québec (SQ) du poste principal de la MRC de Matawinie ont été appelés vers 18 h 15 pour un accident face-à-face survenu sur la route 329.  La collision a causé des blessures mineures aux deux conducteurs et elle n’a nécessité aucun transport à l’hôpital, a indiqué la Sûreté du Québec.  ",https://www.journaldemontreal.com/2020/09/06/collision-frontale-a-saint-donat,actualites
8, Du pot illégal dans votre assiette ,"Le crime organisé et les trafiquants de cannabis illicite, qui ont perdu 30 % de leur marché au profit de l’État québécois, ont entrepris de se renflouer en vendant une panoplie de nouveaux produits dérivés du pot. C’est le constat que le Service de police de la Ville de Montréal (SPVM) fait de plus en plus dans ses enquêtes sur l’industrie du cannabis illégal, presque deux ans après la légalisation de cette drogue douce au pays. « On voit que le marché illégal s’est adapté en offrant une plus grande diversité de produits, comme des produits dérivés et comestibles qui ne sont pas offerts en vente légale à la SQDC. Nos policiers saisissent de tout », a fait valoir au Journal l’inspecteur David Bertrand, du service des enquêtes criminelles du SPVM. Suçons, chocolat, brownies, miel, jujubes, biscuits, muffins, barres tendres véganes et thé glacé apparaissent notamment sur le menu des produits comestibles au pot que les policiers ont confisqués à Montréal en 2019 et 2020. Sans oublier des baumes à lèvres, de la crème pour la peau, des huiles, ainsi que des produits de vapotage de cannabis que le SPVM a retirés du marché clandestin. Pas contrôlés « Ce qui est préoccupant avec ces produits dérivés, c’est que le client ne sait pas vraiment ce qu’il consomme, prévient l’inspecteur Bertrand. Il n’est pas en mesure de juger de la qualité de ces produits souvent fabriqués dans des usines artisanales, avec des normes d’hygiène qu’on ne peut pas contrôler et qui ne sont jamais vérifiées. » Ce haut gradé sert également une mise en garde, plaidant que ces produits saisis par la police puis analysés en laboratoire contiennent souvent des taux de THC de trois à dix fois plus élevés que la recommandation de Santé Canada. « Aussi, dans les produits dérivés, l’effet est plus long avant d’arriver. Alors souvent, on n’a pas d’effet, on en consomme plus et c’est là qu’arrivent des intoxications », ajoute-t-il. Le marché illégal du cannabis s’est résolument tourné vers l’utilisation accrue de l’internet et des médias sociaux pour attirer sa clientèle et mener ses affaires. Ce n’est pas légal « Pour solliciter les jeunes, ils vont utiliser beaucoup les médias sociaux en passant leur message avec des beaux menus attrayants, des photos, des prix. C’est quasiment du clé en main. Aussi, les jeunes qui ne sont pas vigilants se disent à tort que si ces vendeurs ont un site internet, ça doit être légal », explique la commandante Manon Dupont, responsable des équipes d’enquêtes de la section ACCÈS Cannabis et des produits de la criminalité au SPVM. Les produits au cannabis pour vapoteuses seraient en plein essor, selon le SPVM, en rappelant qu’ils demeurent illégaux. Les succursales de la SQDC (Société québécoise du cannabis) n’en offrent toujours pas pour des raisons de protection de la santé. « Des jeunes pensent que c’est légal, mais ça dépend du contenu qu’on utilise dans la vapoteuse. Si on retrouve du THC à l’intérieur, ça devient illégal. Il y a encore un travail d’information à faire », d’après la commandante Dupont. Les prix du cannabis sur le marché illégal sont restés stables et avantageux, soit autour de 7 $ le gramme. « Mais maintenant, dans le marché noir, ils ajoutent des frais de livraison. De petits montants, de 5 $ ou de 10 $, avec lesquels on arrondit la facture. C’est leur nouvelle stratégie. Le client pense que c’est une aubaine, mais en ajoutant ces frais de livraison, on arrive à peu près aux mêmes prix que la SQDC », mentionne la commandante Dupont. ♦ Dans son rapport annuel diffusé en juin dernier, la SQDC se félicitait d’avoir accaparé « plus de 30 % des parts du marché illicite » en « seulement 18 mois d’existence », avec des ventes nettes de 311 millions $ correspondant à 47 tonnes de cannabis, durant l’année fiscale 2019-2020.   Sources : SQDC, ministère de la Sécurité publique du Québec, SPVM, Statistique Canada  Le marché illégal du cannabis est resté immunisé contre la pandémie de COVID-19 à Montréal et dans le reste du Québec. « La pandémie n’a pas ralenti la vente et la production de cannabis illégal parce qu’il s’agit d’un marché où l’approvisionnement est local. Il n’y a donc pas eu de pénurie ou de hausse de prix, comme on le voit avec des drogues importées comme la cocaïne », ont expliqué la commandante Manon Dupont et l’inspecteur David Bertrand au Journal. Les trafiquants ont cependant dû s’adapter au confinement dans la province, le printemps dernier. « Ils se sont trouvé de nouvelles stratégies de livraison en évitant le contact de main à main avec le client, en laissant le cannabis dans une boîte aux lettres ou un autre lieu convenu entre eux, selon la commandante. Ils vont aussi accepter des virements Interac pour se faire payer. La clientèle passe de plus en plus de commandes sur l’internet. » La police doit dorénavant « suivre la technologie, surveiller l’internet et les médias sociaux, et être avant-gardiste dans ses techniques d’enquête » aux dépens du marché illicite du cannabis, qui a beaucoup évolué depuis la légalisation du pot en octobre 2018. Plusieurs nouveaux joueurs indépendants — non affiliés ou sous le contrôle du crime organisé — ont fait leur entrée sur ce marché avec la « fausse croyance » qu’ils ne risquent plus de se faire prendre par la police, d’après l’inspecteur Bertrand. Ce dernier ajoute que la pègre asiatique contrôle toujours une bonne partie de la production de cannabis — principalement les « maisons de pot » transformées en serres intérieures — destinée au marché illégal et à l’exportation vers les États-Unis. Légal en hausse « On a enlevé beaucoup d’argent qui allait dans les poches du crime organisé, mais il parvient à continuer d’en exporter à l’extérieur du Québec. Cette partie-là n’a pas été touchée par la légalisation », a dit l’inspecteur, en prédisant que « la part du marché légal va continuer d’augmenter et de gagner de la clientèle ». À preuve, la Société québécoise du cannabis (SQDC) annonçait jeudi dernier que ses ventes ont atteint 110 millions $ entre la fin mars et la fin juin 2020, malgré le confinement, contre 45 millions $ durant la même période en 2019. La société d’État, qui compte 42 succursales, veut en avoir 70 d’ici mars 2021. Son offre de produits pourrait aussi être bonifiée « pour attirer les consommateurs du marché noir à la recherche de produits comestibles, tout en assurant la protection de la santé des personnes plus jeunes », selon le porte-parole de la SQDC, Fabrice Giguère.",https://www.journaldemontreal.com/2020/09/06/les-criminels-visent-votre-assiette,actualites
9, 70% de son corps brûlé au 3e degré ,"La vie d’un jeune homme de 22 ans a été complètement chamboulée la semaine dernière après qu’il eut pris feu à la suite d’une explosion qui a eu lieu pendant qu’il faisait des travaux de soudure.  Mécanicien dans un atelier de réparation de camions et de remorques sur le chemin Côte-de-Liesse à Dorval, Cédrick Dufour-Gosselin faisait de la soudure mardi dernier comme il en a l’habitude.  Toutefois, vers 8 h 45, une explosion a provoqué son embrasement presque instantané.  « Ses collègues lui ont dit de se rouler par terre pour éteindre les flammes, mais ça ne fonctionnait pas. Après, ils ont essayé de l’éteindre avec leurs vêtements », raconte avec émotion la mère du jeune homme, Marie Gosselin.  Selon ce qu’a décrit le meilleur ami et collègue de M. Dufour-Gosselin à la mère de ce dernier, il aurait ensuite été capable de se rendre aux toilettes pour s’éponger et tenter d’enlever ses vêtements.  Il était sous le choc en constatant ses blessures.  « Il s’est excusé à ses collègues, puis il a dit : “Ma blonde ne m’aimera plus, je ne suis plus beau” », relate Mme Gosselin qui explique que son fils faisait attention à son image et s’arrangeait toujours pour avoir fière allure.  Il aurait continué à faire part de ses craintes concernant son amoureuse aux paramédics d’Urgences-Santé qui l’ont transporté à l’hôpital.  Sauvé par son casque  Brûlé à 70 % de son corps au deuxième, mais surtout au troisième degré, seuls la tête, les mains et les pieds de Cédrick Dufour-Gosselin ont été épargnés.  « Il ne serait pas censé être en vie. C’est son casque qui lui a sauvé la vie », assure Mme Gosselin qui décrit son fils comme un rayon de soleil au grand cœur qui pouvait avoir son petit caractère.  Depuis son arrivée à l’unité de soins de grands brûlés du Centre hospitalier de l’Université de Montréal (CHUM), celui qui était conscient pendant son transport en ambulance a été plongé dans un coma artificiel.  « Les médecins veulent éviter qu’il souffre trop en attendant les greffes de peau », précise la fiancée du jeune homme Alyson Beaudin.  Avec Son amoureuse Au chevet de son amoureux avec la mère et la sœur de ce dernier, elle tente de le rassurer.   « J’ai passé des heures à le rassurer en lui disant qu’il était beau. Que ses belles mains et son beau visage n’avaient pas été touchés. Je lui répète que je l’aime et que je vais continuer à l’aimer. Qu’on va se battre à ses côtés », raconte Mme Beaudin.  « Il réagissait beaucoup à ma voix. Il bougeait les sourcils. J’ai même senti sa main bouger dans la mienne », poursuit-elle.  Cette dernière croit même que son fiancé a eu une sorte de pressentiment sur l’accident qui allait se produire.  « La fin de semaine avant, on a parlé de bébé et je lui ai dit qu’apparemment une femme qui accouche ressent une douleur de 10 sur une échelle de 10. Il m’a répondu : “Oui, mais imagine quelqu’un qui brûle, ça doit être encore pire comme douleur” », se remémore celle qui a encore de la difficulté à y croire.  Les prochains mois s’annoncent ardus pour le jeune homme sportif et amoureux des voitures. Ses proches espèrent qu’il pourra un jour rejouer au hockey, mais ne savent pas si ce sera possible.  Selon la Commission des normes, de l’équité, de la santé et de la sécurité du travail (CNESST) qui s’est rendue sur le lieu de travail de M. Dufour-Gosselin, les premières constatations n’ont pas permis de déterminer la cause de l’accident.   Une analyse de la machine avec laquelle il travaillait a toutefois été demandée.  En 2019, près de 1400 dossiers de blessures reliées à des brûlures ont été ouverts à la CNESST.  *Source: Commission des normes, de l’équité, de la santé et de la sécurité du travail (CNESST)",https://www.journaldemontreal.com/2020/09/06/70-de-son-corps-brule-au-3e-degre,actualites
